0	0	1
0	0	1
0	0	1
0	0	1
1	0	1
2	1	1
2	1	1
3	0	1
4	0	1
1	0	1
1	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
5	0	1
11	0	1
12	0	1
5	0	1
13	0	1
14	1	1
2	1	1
4	0	1
11	0	1
15	0	1
5	0	1
4	0	1
16	2	1
17	0	1
18	0	1
19	2	1
0	0	1
19	2	1
7	0	1
16	2	1
20	2	1
21	0	1
14	1	1
22	0	1
23	0	1
8	0	1
20	2	1
4	0	1
20	2	1
24	0	1
15	0	1
12	0	1
11	0	1
25	0	1
22	0	1
16	2	1
26	2	1
21	0	1
25	0	1
12	0	1
27	0	1
28	0	1
29	2	1
30	0	1
10	0	1
31	0	1
32	0	1
33	0	1
34	2	1
33	0	1
35	0	1
28	0	1
36	0	1
37	0	1
38	1	1
39	0	1
40	0	1
0	0	1
41	0	1
27	0	1
36	0	1
42	0	1
43	1	1
7	0	1
8	0	1
44	0	1
45	0	1
46	0	1
47	2	1
43	0	1
48	0	1
43	0	1
0	0	1
14	1	1
49	0	1
47	2	1
26	2	1
50	2	1
51	1	1
52	1	1
4	0	1
53	2	1
45	0	1
10	0	1
11	0	1
54	0	1
55	1	1
34	2	1
56	0	1
0	0	1
28	0	1
57	1	1
8	0	1
58	2	1
59	3	1
54	0	1
1	0	1
43	0	1
60	0	1
43	0	1
61	2	1
62	3	1
7	0	1
6	0	1
63	3	1
61	2	1
64	0	1
65	0	1
14	1	1
66	0	1
67	3	1
68	3	1
24	0	1
61	2	1
39	0	1
69	0	1
8	0	1
70	1	1
71	3	1
5	0	1
61	2	1
65	0	1
24	0	1
2	1	1
40	0	1
72	3	1
41	0	1
41	0	1
73	3	1
74	2	1
0	0	1
43	0	1
26	2	1
75	3	1
17	0	1
76	3	1
39	0	1
48	0	1
18	0	1
21	0	1
77	3	1
61	2	1
78	0	1
33	0	1
77	3	1
78	0	1
79	0	1
37	0	1
80	3	1
16	2	1
81	3	1
82	3	1
73	3	1
47	2	1
83	0	1
84	3	1
61	2	1
85	3	1
53	2	1
86	3	1
87	3	1
88	3	1
61	2	1
89	3	1
90	3	1
91	3	1
76	3	1
90	3	1
92	3	1
93	1	1
94	0	1
94	0	1
95	3	1
96	3	1
97	0	1
23	0	1
3	0	1
15	0	1
98	1	1
58	2	1
73	3	1
99	3	1
48	0	1
76	3	1
81	3	1
88	3	1
91	3	1
100	3	1
76	3	1
101	3	1
102	3	1
60	0	1
60	0	1
15	0	1
3	0	1
103	3	1
104	1	1
100	3	1
74	2	1
4	0	1
97	0	1
105	3	1
106	3	1
107	3	1
108	3	1
73	3	1
19	2	1
11	0	1
109	3	1
62	3	1
9	0	1
110	3	1
111	3	1
59	3	1
94	0	1
25	0	1
16	2	1
112	3	1
24	0	1
112	3	1
104	1	1
113	3	1
69	0	1
114	3	1
110	3	1
18	0	1
20	3	1
115	3	1
115	3	1
116	3	1
117	0	1
86	3	1
66	0	1
104	1	1
115	3	1
118	3	1
52	1	1
102	3	1
63	3	1
65	0	1
119	3	1
120	4	1
10	0	1
121	3	1
12	0	1
111	3	1
122	3	1
123	3	1
124	3	1
125	0	1
20	2	1
122	3	1
122	3	1
12	0	1
75	3	1
126	3	1
35	0	1
127	3	1
128	3	1
129	3	1
130	3	1
131	3	1
132	3	1
133	3	1
40	0	1
134	3	1
135	3	1
136	3	1
10	0	1
137	3	1
138	3	1
33	0	1
58	2	1
139	3	1
140	3	1
66	0	1
101	3	1
64	0	1
130	3	1
141	3	1
2	1	1
102	3	1
142	3	1
143	3	1
144	1	1
103	3	1
145	3	1
146	3	1
147	3	1
98	1	1
148	3	1
149	3	1
32	0	1
150	3	1
151	3	1
152	3	1
153	3	1
154	3	1
155	3	1
156	3	1
94	0	1
99	3	1
157	3	1
158	3	1
54	0	1
159	3	1
40	0	1
160	3	1
161	3	1
162	3	1
123	3	1
114	3	1
163	3	1
164	3	1
34	2	1
7	0	1
137	3	1
32	0	1
165	3	1
166	0	1
167	3	1
27	0	1
162	3	1
63	3	1
160	3	1
2	1	1
168	3	1
169	3	1
170	3	1
171	3	1
172	3	1
20	2	1
61	2	1
169	3	1
173	3	1
174	3	1
43	1	1
175	3	1
176	3	1
177	3	1
